code|description_serbian|description_latin
R90.8|Drugi nenormalni nalazi kod diagnostike centralnog nervnog sistema|Status systematis nervosi centralis ad diagnosticam abnormales alii
R91|Nenormalan nalaz kod diajagnostike pluća|Pulmo ad diagnosticam abnormalis
R92|Nenormalan nalaz kod dijagnostike dojke|Mamma ad diagnosticam abnormalis
R93|Nenormalni nalazi kod dijagnostike drugih struktura tela|Structurae corporales ad diagnosticam abnormales aliae
R93.0|Nenormalni nalazi kod dijagnostike lobanje i glave|Cranium et caput ad diagnosticam abnormale
R93.1|Nenormalni nalazi kod dijagnostike srca i cirkulacije srca|Cor et circulatio coronaria ad diagnosticam abnormalis
R93.2|Nenormalni nalazi kod dijagnostike jetre i žučnih puteva|Hepar et tractus billaris ad diagnosticam abnormalis
R93.3|Nenormalni nalazi kod dijagnostike organa za varenje|Tractus digestivus ad diagnosticam abnormalis
R93.4|Nenormalni nalazi kod dijagnostike mokraćnih organa|Organa urinaria ad diagnosticam abnormalia
R93.5|Nenormalni nalazi kod dijagnostike trbuha iza potrbušnice|Regiones abdominales et retroperitoneales ad diagnosticam abnormales
R93.6|Nenormalni nalazi kod dijagnostike udova|Extremitates ad diagnosticam abnormales
R93.7|Nenormalni nalazi kod mišićno-koštanog sistema|Systema musculosceletale ad diagnosticam abnormale
R93.8|Drugi nenormalni nalazi kod dijagnostike označenih struktura tela|Structurae corporales ad diagnosticam abnormales aliae,specificatae
R94|Poremećaji funkcija organa|Dysfunctiones organorum
R95|Iznenadna smrt deteta|Mors infantis subita
R96|Druga iznenadna smrt,uzrok nepoznat|Mors subita alia, causa ignota
R96.0|Trenutna smrt|Mors peracuta
R96.1|Smrt,uzrok nepoznat|Mors, causa ignota
R98|Smrt bez prisustva svedoka|Mors sine praesentia testium
R99|Druga smrt,uzrok neoznačen|Mors alia,causa non specificata
S00|Površinska povreda glave|Laesio traumatica capitis,superficialis
S00.0|Površinska povreda poglavine|Laesio traumatica capillitii,superficialis
S00.1|Kontuzija kapka oka i okoline oka|Contusio palpebrae et periocularis
S00.2|Druge površinske povrede kapka oka i okoline oka|Laesiones traumaticae palpebrae et perioculares,superficiales aliae
S00.3|Površinska povreda nosa|Laesio traumatica nasi,superficialis
S00.4|Površinska povreda uva|Laesio traumatica auris,superficialis
S00.5|Površinska povreda usne i usta|Laesio traumatica labii et cavitatis oris,superficialis
S00.7|Višestruke površinske povrede glave|Laesiones traumaticae capitis superficiales multiplices
S00.8|Površinska povreda drugih delova glave|Laesio traumatica partium capitis aliarum,superficialis
S00.9|Površinska povreda neoznačenih delova glave|Laesio traumatica capitis superficialis,partium non specificatarum
S01|Otvorena rana glave|Vulnus apertum capitis
S01.0|Otvorena rana poglavine|Vulnus apertum capillitii
S01.1|Otvorena rana kapka oka i okoline oka|Vulnus apertum palpebrae et perioculare
S01.2|Otvorena rana nosa|Vulnus apertum nasi
S01.3|Otvorena rana uva|Vulnus apertum auris
S01.4|Otvorena rana obraza i predela zgloba gornje vilice|Vulnus apertum buccae et regionis temporomandibularis
S01.5|Otvorena rana usne i usta|Vulnus apertum labii et cavitatis oris
S01.7|Višestruke otvorene rane glave|Vulnera aperta capitis multiplicia
S01.8|Otvorena rana drugih delova glave|Vulnus apertum capitis(aliarum)partium
S01.9|Otvorena rana neoznačenih delova glave|Vulnus apertum capitis non specificatarum partium
S02|Prelom lobanje i prelom kostiju lica|Fractura cranii et fractura ossium faciei
S02.0|Prelom krova lobanje|Fractura calvarii
S02.1|Prelom baze lobanje|Fractura basis cranii
S02.2|Prelom kostiju nosa|Fractura ossium nasalium
S02.3|Prelom poda duplje oka|Fractura orbitae,pars inferior
S02.4|Prelom jagodice i prelom kosti gornje vilice|Fractura ossis zygomatici et fractura ossis maxillaris
S02.5|Prelom zuba|Fractura dentis
S02.6|Prelom donje vilice|Fractura mandibulae
S02.7|Višestruki prelom lobanje i prelom kosti lica|Fractura cranii et fractura ossis faciei multiplex
S02.8|Prelom lobanje i prelom drugih kostiju lica|Fracturae cranii et fractura ossium faciei aliorum
S02.9|Prelom neoznačenih delova kostiju lobanje i prelom kostiju lica|Fractura partium ossium cranii et fractura ossium faciei non specificatarum
S03|Iščašenje,uganuće i istegnuće zglobova i veza glave|Luxatio,distorsio et distensio articulorum et ligamentorum capitis
S03.0|Iščašenje donje vilice|Luxatio mandibulae
S03.1|Iščašenje hrskavice pregrade nosa|Luxatio cartilaginis septi nasi
S03.2|Iščašenje zuba|Luxatio denti
S03.3|Iščašenje ostalih neoznačenih delova glave|Luxatio partium capitis aliarum,non specificatarum
S03.4|Uganuće i istegnuće donje vilice|Distorsio et distensio mandibulae
S03.5|Uganuće i istegnuće zglobova i veza drugih neoznačenih delova glave|Distorsio et distensio articulorum et ligamentorum partium capitis aliarum,non specificatarum
S04|Povrede živaca lobanje|Laesions traumaticae nervorum cranialium
S04.0|Povreda vidnog živca i optičkog puta|Laesio traumatica nervi optici et tractus optici
S04.1|Povreda živca pokretača oka|Laesio traumatica nervi oculomotorii
S04.2|Povreda živca podizača kapka|Laesio traumatica nervi trochlearis
S04.3|Povreda trokrakog živca|Laesio traumatica nervi trigemini
S04.4|Povreda živca odmicača|Laesio traumatica nervi abducentis
S04.5|Povreda živca lica|Laesio traumatica nervi facialis
S04.6|Povreda živca za sluh|Laesio traumatica nervi acustici
S04.7|Povreda pomoćnog živca lobanje|Laesio traumatica nervi accessorii
S04.8|Povreda drugih živaca lobanje|Laesio traumatica nervorum cranialium aliorum
S04.9|Povreda živca lobanje,neoznačena|Laesio traumatica nervi cranialis,non specificata
S05|Povreda oka i duplje oka|Laesio traumatica oculi et orbitae
S05.0|Povreda vežnjače i oderotina rožnjače bez stranog tela|Laesio traumatica conjuctivae et abrasio corneae sine corpore alieno
S05.1|Nagnječenje jabučice oka i tkiva duplje oka|Contusio bulbi oculi et textum orbitae
S05.2|Razderotina i rascep oka sa ispadom ili gubitkom tkiva u oku|Laceratio et ruptura oculi cum prolapsu sive amissione textus intraocularis
S05.3|Razderotina oka bez ispada ili gubitka tkiva u oku|Laceratio oculi sine prolapsu sive amissione textus intraocularis
S05.4|Prodorna rana duplje oka sa stranim telom ili bez stranog tela|Vulnus penetrans orbitae cum sive sine corpore alieno
S05.5|Prodorna rana jabučice oka sa stranim telom|Vulnus penetrans bulbi oculi cum corpore alieno
S05.6|Prodorna rana jabučice oka bez stranog tela|Vulnus penetrans bulbi oculi sine corpore alieno
S05.7|Istrgnuće oka|Avulsio oculi
S05.8|Druge povrede oka i duplje oka|Traumata oculi et orbitae alia
S05.9|Povreda oka i duplje oka,neoznačena|Laesio traumatica oculi et orbitae,non specificata
S06|Povreda unutar lobanje|Laesio traumatica intracranialis
S06.0|Potres mozga|Commotio cerebri
S06.1|Otok mozga uzrokovan povredom|Oedema cerebri traumaticum
S06.2|Rasprostranjena povreda mozga|Laesio traumatica cerebri diffusa
S06.3|Lokalna povreda mozga|Laesio traumatica cerebri focalis
S06.4|Krvarenje nad tvrdom moždanicom|Haemorrhagia epiduralis
S06.5|Krvarenje ispod tvrde moždanice uzrokovano povredom|Haemorrhagia subduralis traumatica
S06.6|Krvarenje ispod mrežaste moždanice uzrokovano povredom|Haemorrhagia subarachnoidalis traumatica
S06.7|Povreda unutar lobanje sa produženom komom|Laesio traumatica cum comate prolongato intracranialis
S06.8|Druge povrede unutar lobanje|Laesiones traumaticae intracraniales aliae
S06.9|Povreda unutar lobanje,neoznačena|Laesio traumatica intracranialis,non specificata
S07|Povrede glave uzrokovana zdrobljavanjem-kraš|Conquassatio capitis
S07.0|Povreda lica uzrokovana zdrobljavanjem|Conquassatio faciei
S07.1|Povreda lobanje uzrok.zdrobljavanjem|Conquassatio cranii
S07.8|Druga povreda glave uzrokovana zdrobljavanjem|Conquassatio capitis alia
S07.9|Povreda glave uzrokovana zdrobljavanjem,neoznačena|Conquassatio capitis,non specificata
S08|Odsecanje dela glave|Amputatio traumatica partis capitis
S08.0|Otkinuće poglavine|Avulsio capillitii
S08.1|Odsecanje uva|Amputatio traumatica auris
S08.8|Odsecanje drugih delova glave|Amputatio traumatica partium capitis aliarum
S08.9|Odsecanje neoznačenog dela glave|Amputatio traumatica partis capitis non specificatae
S09|Druge neoznačene povrede glave|Laesiones traumaticae capitis aliae,non specificatae
S10|Površinska povreda vrata|Laesio traumatica colli superficialis
S10.0|Nagnječenje grla|Contusio juguli
S10.1|Druge neoznačene površinske povrede grla|Laesiones traumaticae juguli superfaciales aliae,non specificatae
S10.7|Višestruke površinske povrede vrata|Laesiones traumaticae colli superficiales multiplices
S10.8|Površinska povreda drugih delova vrata|Laesio traumatica partium colli aliarium superficialis
S10.9|Površinska povreda vrata,neoznačena|Laesio traumatica colli superficialis,non specificata
S11|Otvorena rana vrata|Vulnus apertum colli
S11.0|Otvorena rana grkljana i dušnika|Vulnus apertum laryngis et tracheae
S11.1|Otvorena rana štitaste žlezde|Vulnus apertum glandulae thyreoideae
S11.2|Otvorena rana ždrela i vratnog dela jednjaka|Vulnus apertum pharyngis et oesophagi,pars cervicalis
S11.7|Višestruke otvorene rane vrata|Vulnera aperta colli multiplicia
S11.8|Otvorena rana drugih delova vrata|Vulnus apertum partium colli aliarum
S11.9|Otvorena rana dela vrata,neoznačena|Vulnus apertum partis colli,non specificatum
S12|Prelom vrata|Fractura colli
S12.0|Prelom prvog vratnog pršljena|Fractura vertebrae cervicalis primae
S12.1|Prelom drugog vratnog pršljena|Fractura vertebrae cervicalis secundae
S12.2|Prelom drugog označenog vratnog pršljena|Fractura vetebrae cervicalis alterius,specificatae
S12.7|Višestruki prelomi vratnog dela kičme|Fracturae columnae vertebralis cervicalis multiplices
S12.8|Drugi prelom vrata|Fractura colli alia
S12.9|Prelom neoznačenog dela vrata|Fractura partis colli,non specificatae
S13|Iščašenje,uganuće i istezanje zglobova i veza vrata|Luxatio,distorsio et distensio articulorum et ligamentorum colii
S13.0|Povredni rascep vratnog međupršljenskog koluta|Ruptura traumatica disci intervertebralis cervicalis
S13.1|Iščašenje vratnog pršljena|Luxatio vetebrae cervicalis
S13.2|Iščašenje drugih neoznačenih delova vrata|Luxatio partium colli aliarum,non specificarum
S13.3|Višestruko iščašenje vrata|Luxatio colli multiplex
S13.4|Uganuće i istegnuće vratnog dela kičme|Distorsio et distensio columnae vertebralis cervicalis
S13.5|Uganuće i istegnuće u predelu štitaste žlezde|Distorsio et distensio regionis thyreoideae
S13.6|Uganuće i istegnuće zglobova i veza drugih neoznačenih delova vrata|Distorsio et distensio partium articulorum et ligamentorum colli aliarum,non specificatarum
S14|Povrede živaca i kičmene moždine vrata|Laesio traumatica nervorum et medullae spinalis colii
S14.0|Nagnječenje i otok vratnog dela kičmene moždine|Contussio et oedema medullae spinalis cervicalis
S14.1|Druge neoznačene povrede vratnog dela kičmene moždine|Laesiones traumaticae medullae spinalis cervicalis aliae,non specificatae
S14.2|Povrede korena vratnog kičmenog živca|Laesio traumatica radicis nervi spinalis cervicalis
S14.3|Povreda ramenog živčanog spleta|Laesio traumatica plexus brachialis
S14.4|Povreda perifernih živaca vrata|Laesio traumatica nervorum cervicalium periphericorum
S14.5|Povreda simpatetičkih živaca vrata|Laesio traumatica nervorum sympatheticorum colli
S14.6|Povreda drugih neoznačenih živaca vrata|Laesio traumatica nervorum colli aliorum,non specificatorum
S15|Povreda krvnih sudova vrata|Laesio traumatica vasorum colli
S15.0|Povreda glavne arterije vrata|Laesio traumatica arteriae carotidis
S15.1|Povreda arterije kičme|Laesio traumatica arteriae vertebralis
S15.2|Povreda spoljne vene vrata|Laesio traumatica venae jugularis externae
S15.3|Povreda unutrašnje vene vrata|Laesio traumatica venae jugularis internae
S15.7|Povreda više krvnih sudova vrata|Laesio traumatica vasorum colli multiplicium
S15.8|Povreda drugih krvnih sudova vrata|Laesio traumatica vasorum colli aliorum
S15.9|Povreda neoznačenog krvnog suda vrata|Laesio traumatica vasis colli,non specificati
S16|Povreda mišića i tetive vrata|Laesio traumatica musculi et tendinis colii
S17|Povreda vrata uzrokovana zdrobljavanjem-kraš|Conquassatio colli
S17.0|Povreda grkljana i dušnika uzrokovana zdrobljavanjem|Conquassatio laryingis et tracheae
S17.8|Druga povreda vrata uzrokovana zdrobljavanjem|Conquassatio colli alia
S17.9|Povreda vrata uzrokovana zdrobljavanjem,neoznačena|Conquassatio colli,non specificata
S18|Odsecanje u predelu vrata|Amputatio traumatica regionis colli
S19|Druge neoznačene povrede vrata|Laesiones traumatica colli aliae,non specificatae
S20|Površinska povreda grudnog koša|Laesio traumatica thoracis superficialis
S20.0|Nagnječenje dojke|Contusio mammae
S20.1|Druge neoznačene površinske povrede dojke|Laesiones traumaticae mammae superficiales aliae,non specificatae
S20.2|Nagnječenje grudnog koša|Contusio thoracis
S20.3|Druge površinske povrede prednjeg zida grudnog koša|Laesiones traumaticae parietis thoracis anterioris superficiales aliae
S20.4|Druge površinske povrede zadnjeg zida grudnog koša|Laesiones traumaticae parietis thoracis posterioris superficiales aliae
S20.7|Višestruke površinske povrede grudnog koša|Laesiones traumaticae thoracis superficiales multiplices
S20.8|Površinska povreda drugih neoznačenih delova grudnog koša|Laesio traumatica partium thoracis aliarum et non specificatarum superficialis
S21|Otvorena rana grudnog koša|Vulnus apertum thoracis
S21.0|Otvorena rana dojke|Vulnus apertum mammae
S21.1|Otvorena rana prednjeg zida grudnog koša|Vulnus apertum parietis thoracis anterioris
S21.2|Otvorena rana zadnjeg zida grudnog koša|Vulnus apertum parietis thoracis posterioris
S21.7|Višestruke otvorene rane zida grudnog koša|Vulnera aperta parietis thoracis multiplicia
S21.8|Otvorena rana drugih delova grudnog koša|Vulnus apertum partium thoracis aliarum
S21.9|Otvorena rana zida grudnog koša,neoznačena|Vulnus apertum parietis thoracis,non specificatum
S22|Prelom rebra (rebara),grudne kosti i grudnog dela kičme|Fractura costae (costarum),sterni et columnae thoracalis
S22.0|Prelom grudnog pršljena|Fractura columnae vertebralis thoracalis
S22.1|Višestruki prelomi grudnog dela kičme|Fracturae columnae vertebralis thoracalis multiplices
S22.2|Prelom grudne kosti|Fractura sterni
S22.3|Prelom rebra|Fractura costae
S22.4|Višestruki prelom rebara|Fracturae costarum multiplices
S22.5|Kolebljivi pokreti grudnog koša(usled povrede)|Thorax fluitans
S22.8|Prelom drugih kostiju grudnog koša|Fractura ossium thoracis aliorum
S22.9|Prelom neoznačenog dela kosti grudnog koša|Fractura partis osseae thoracis,non specificatae
S23|Iščašenje,uganuće i istegnuće zglobova i veza grudnog koša|Luxatio,distorsio et distensio articulorum et ligamentorum thoracis
S23.0|Rascep grudnog međupršljenskog koluta|Ruptura traumatica disci intervertebralis thoracalis
S23.1|Iščašenje grudnog pršljena|Luxatio vertebrae thoracalis
S23.2|Iščašenje drugih neoznačenih delova grudnog koša|Luxatio partium thoracis aliarum,non specificatarum
S23.3|Uganuće i istegnuće grudnog dela kičme|Distorsio et distensio columnae vertebralis thoracalis
S23.4|Uganuće i istegnuće rebara i grudne kosti|Distorsio et distensio costarum et sterni
S23.5|Uganuće i istegnuće drugih neoznačenih delova grudnog koša|Distorsio et distensio partium thoracis aliarum,non specificatarum
S24|Povreda živaca i grudnog dela kičmene moždine|Laesiones traumaticae nervorum et medullae spinalis thoracalis
S24.0|Potres i otok grudnog dela kičmene moždine|Commotio et oedema medullae spinalis thoracalis
S24.1|Druge neoznačene povrede grudnog dela kičmene moždine|Laesiones traumaticae medullae spinalis thoracalis aliae,non specificatae
S24.2|Povreda korena grudnog kičmenog živca|Laesio traumatica radicis nervi spinalis thoracalis
S24.3|Povrede perifernih grudnih živaca|Laesiones traumaticae nervorum perifericorum thoracis
S24.4|Povrede simpatičkih grudnih živaca|Laesiones traumaticae nervorum sympatheticorum thoracalium
S24.5|Povreda drugih grudnih živaca|Laesio traumatica nervorum thoracalium aliorum
S24.6|Povreda grudnog živca,neoznačena|Laesio traumaticae nervi thoracalis,non specificata
S25|Povreda grudnih krvnih sudova|Laesio traumatica vasorum thoracis
S25.0|Povreda grudnog dela aorte|Laesio traumatica aortae thoracalis
S25.1|Povreda bezimenog stabla ili potključne arterije|Laesio traumatica trunci brachiocephalici sive arteriae subclaviae
